,SMILES,rate of thermal isomerisation from Z-E in s-1,Solvent used for thermal isomerisation rates,Z PhotoStationaryState,E PhotoStationaryState,E isomer pi-pi* wavelength in nm,Extinction,E isomer n-pi* wavelength in nm,Extinction coefficient in M-1 cm-1,Z isomer pi-pi* wavelength in nm,Extinction.1,Z isomer n-pi* wavelength in nm,Extinction coefficient in M-1 cm-1.1,Wiberg index,E-Z irradiation wavelength in nm,Z-E irradiation wavelength,Irradiation solvent,PBE0 DFT E isomer pi-pi* wavelength in nm,PBE0 DFT E isomer n-pi* wavelength in nm,PBE0 DFT Z isomer pi-pi* wavelength in nm,PBE0 DFT Z isomer n-pi* wavelength in nm,TPSSh/6-31G** DFT E isomer pi-pi* wavelength in nm,TPSSh/6-31G** DFT E isomer n-pi* wavelength in nm,TPSSh/6-31G** DFT Z isomer pi-pi* wavelength in nm,TPSSh/6-31G** DFT Z isomer n-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT E isomer pi-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT E isomer n-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT Z isomer pi-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT Z isomer n-pi* wavelength in nm,BHLYP/6-31G* DFT E isomer pi-pi* wavelength in nm,BHLYP/6-31G* DFT E isomer n-pi* wavelength in nm,BHLYP/6-31G* Z isomer pi-pi* wavelength in nm,BHLYP/6-31G* DFT Z isomer n-pi* wavelength in nm
31,FC1=CC=CC(F)=C1/N=N/C2=CC=CC=C2,7.70E-06,MeCN at 60C,74,82,309,20000,451,700,275,,419,1000,,>500,410,MeCN,,,,,,,,,341,498,315,463,,,,
32,FC1=CC=CC(F)=C1/N=N/C2=C(F)C=CC=C2F,2.09E-06,MeCN at 60C,86,91,305,18000,456,1000,280,,414,1600,,>500,410,MeCN,,,,,,,,,339,525,326,452,,,,
33,FC1=CC(F)=CC(F)=C1/N=N/C(C(F)=C2)=C(F)C=C2F,9.60E-06,MeCN at 60C,94,91,309,20000,450,900,280,,414,1500,,>500,410,MeCN,,,,,,,,,342,510,310,453,,,,
34,FC1=C(F)C=C(F)C(F)=C1/N=N/C2=C(F)C(F)=CC(F)=C2F,7.13E-06,MeCN at 60C,92,92,303,16000,456,700,280,,413,1200,,>500,410,MeCN,,,,,,,,,338,531,363,439,,,,
35,FC1=C(F)C(F)=C(F)C(F)=C1/N=N/C2=C(F)C(F)=C(F)C(F)=C2F,4.10E-05,MeCN at 60C,91,90,310,20000,453,900,,,413,1600,,>500,410,MeCN,,,,,,,,,,,,,,,,
36,FC1=CC=CC(F)=C1/N=N/C2=CC=C(C(OCC)=O)C=C2,9.17E-06,MeCN at 60C,75,88,316,22000,453,700,255,,417,1000,,>500,410,MeCN,,,,,,,,,354,523,326,471,,,,
37,FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=C(F)C=C(C(OCC)=O)C=C2F,1.28E-05,MeCN at 60C,90,97,314,19000,469,1000,,,419,1700,,>500,410,MeCN,,,,,,,,,,,,,,,,
38,FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=C(F)C=CC=C2F,6.42E-06,MeCN at 60C,95,95,310,19000,460,1000,255,,416,1700,,>500,410,MeCN,,,,,,,,,353,542,336,460,,,,
39,FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=CC=C(C(OCC)=O)C=C2,2.41E-05,MeCN at 60C,61,95,320,25000,460,1000,255,,419,1400,,>500,410,MeCN,,,,,,,,,363,535,325,475,,,,
40,FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=CC=CC=C2,2.75E-05,MeCN at 60C,79,89,316,21000,456,900,255,,419,1300,,>500,410,MeCN,,,,,,,,,350,508,320,468,,,,
41,C12=CC=CC=C1CCC3=CC=CC=C3/N=N\2,1.26E-05,MeCN,100,87,,,486,,,,402,,,520,385,hexane,,,,,,,,,,,,,,,,
42,NC1=CC(/N=N\2)=C(CCC3=C2C=C(N)C=C3)C=C1,7.76E-06,MeCN,100,30,,,487,,,,401,,,,,MeCN,,,,,,,,,,,,,,,,
43,NC1=CC(CCC2=C3C=CC(N)=C2)=C(/N=N\3)C=C1,9.63E-06,MeCN,100,25,,,475,,,,400,,,,,MeCN,,,,,,,,,,,,,,,,
44,OCC(C=C1)=CC2=C1CCC3=C(/N=N\2)C=C(CO)C=C3,1.69E-05,MeCN,100,83,,,485,,,,404,,,,,MeCN,,,,,,,,,,,,,,,,
45,OCCC1=CC(/N=N\2)=C(CCC3=C2C=C(CCO)C=C3)C=C1,1.15E-05,MeCN,100,81,,,487,,,,405,,,,,MeCN,,,,,,,,,,,,,,,,
46,[N-]=[N+]=NCC(C=C1)=CC2=C1CCC3=C(/N=N\2)C=C(CN=[N+]=[N-])C=C3,1.72E-05,MeCN,100,85,,,484,,,,402,,,,,MeCN,,,,,,,,,,,,,,,,
47,[N-]=[N+]=NCCC1=CC(/N=N\2)=C(CCC3=C2C=C(CCN=[N+]=[N-])C=C3)C=C1,1.38E-05,MeCN,100,82,,,489,,,,405,,,,,MeCN,,,,,,,,,,,,,,,,
48,NCC1=CC(/N=N\2)=C(CCC3=C2C=C(CN)C=C3)C=C1,1.31E-05,MeCN,100,81,,,488,,,,405,,,,,MeCN,,,,,,,,,,,,,,,,
49,NCCC1=CC(/N=N\2)=C(CCC3=C2C=C(CCN)C=C3)C=C1,1.91E-05,MeCN,100,78,,,485,,,,400,,,,,MeCN,,,,,,,,,,,,,,,,
50,C=CC1=CC(/N=N\2)=C(CCC3=C2C=C(C=C)C=C3)C=C1,1.47E-05,MeCN,100,74,,,484,,,,403,,,,,MeCN,,,,,,,,,,,,,,,,
51,CC(C)(C)OCC1=CC(/N=N\2)=C(CCC3=C2C=C(COC(C)(C)C)C=C3)C=C1,1.89E-05,MeCN,100,82,,,487,,,,403,,,,,MeCN,,,,,,,,,,,,,,,,
52,CC(OCCC1=CC=C2CCC3=CC=C(CCOC(C)(C)C)C=C3/N=N\C2=C1)(C)C,1.21E-05,MeCN,100,81,,,488,,,,405,,,,,MeCN,,,,,,,,,,,,,,,,
53,CC(NC(C=C1)=CC(OC)=C1/N=N/C2=C(OC)C=C(NC(C)=O)C=C2)=O,0.000101337,DMSO,,,338,16170,480,4030,,,,,,530-560,450-460,DMSO,,,,,,,,,,,,,,,,
54,CC(NC(C=C1OC)=CC(OC)=C1/N=N/C2=C(OC)C=C(NC(C)=O)C=C2OC)=O,5.73E-07,DMSO,80,85,345,,490,,320,,450,,,530-560,450-460,DMSO,,,,,,,,,,,,,,,,
55,COC(C=CN=C1)=C1/N=N/C2=CC=CC=C2,8.77E-09,toluene,90,87,332,11535,443,609,,,430,,,365,440,toluene,,,,,,,,,,,,,,,,
56,C1(/N=N/C2=CC=CC=C2)=CC=CN=C1,8.44E-07,toluene,63,80,322,37246,448,923,,,440,,,365,440,toluene,,,,,,,,,,,,,,,,
57,CC1=C(/N=N/C2=CC=CC=C2)C=NC=C1,1.93E-06,toluene,72,83,322,14151,455,328,,,436,,,365,440,toluene,,,,,,,,,,,,,,,,
58,CC(C)C1=C(/N=N/C2=CC=CC=C2)C=NC=C1,6.09E-07,toluene,75,75,323,14964,453,530,300,,442,,,365,440,toluene,,,,,,,,,,,,,,,,
59,IC1=C(/N=N/C2=CC=CC=C2)C=NC=C1,1.67E-06,toluene,81,81,330,14540,,,,,432,,,365,440,toluene,,,,,,,,,,,,,,,,
60,CN(C)C1=C(/N=N/C2=CC=CC=C2)C=NC=C1,6.21E-06,toluene,63,63,313,7580,404,5310,,,400,,,365,440,toluene,,,,,,,,,,,,,,,,
61,O=C(N(CCC)C=C1/N=N/C2=CC=C(C(C)(C)C)C=C2)NC1=O,9.87E-07,toluene,100,100,375,,450,,,,450,,,600,430,toluene,,,,,,,,,,,,,,,,
62,O=C(COC1=C(/N=N\C2=C(OC3)C=CC=C2)C=CC=C1)O[C@H]4[C@H](OCC5=CC=CC=C5)[C@@H](OCC6=CC=CC=C6)[C@H](SC7=CC=CC=C7)O[C@@H]4COC3=O,1.57E-07,MeCN,95,53,310,,460,,,,,,,365,435,MeCN,,,,,,,,,,,,,,,,
63,CC1=C(C(C)=NN1)/N=N/C2=C(F)C=CC=C2,4.55E-05,,90,75,334,,418,,287,,442,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
64,CC1=C(C(C)=NN1)/N=N/C2=CC(F)=CC=C2,0.00185,,87,74,334,,417,,292,,437,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
65,CC1=C(C(C)=NN1)/N=N/C2=CC=C(F)C=C2,0.00162,,85,96,330,,426,,293,,436,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
66,CC1=C(C(C)=NN1)/N=N/C2=C(Cl)C=CC=C2,0.00403,,84,86,339,,426,,292,,432,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
67,CC1=C(C(C)=NN1)/N=N/C2=CC(Cl)=CC=C2,0.0114,,80,77,336,,418,,290,,418,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
68,CC1=C(C(C)=NN1)/N=N/C2=CC=C(Cl)C=C2,0.00167,,90,94,336,,430,,295,,439,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
69,CC1=C(C(C)=NN1)/N=N/C2=C(Br)C=CC=C2,0.00429,,88,72,340,,424,,289,,431,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
70,CC1=C(C(C)=NN1)/N=N/C2=CC(Br)=CC=C2,0.0587,,86,73,335,,416,,296,,437,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
71,CC1=C(C(C)=NN1)/N=N/C2=CC=C(Br)C=C2,0.00179,,92,72,337,,416,,293,,440,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
72,CC1=C(C(C)=NN1)/N=N/C2=CC(O)=CC=C2,0.00288,,86,69,330,,412,,292,,437,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
73,CC1=C(C(C)=NN1)/N=N/C2=C(C(F)(F)F)C=CC=C2,0.328,,41,87,335,,428,,327,,437,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
74,CC1=C(C(C)=NN1)/N=N/C2=CC(C(F)(F)F)=CC=C2,0.00265,,83,86,332,,419,,294,,436,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
75,CC1=C(C(C)=NN1)/N=N/C2=CC=C(C(F)(F)F)C=C2,0.0296,,79,80,334,,392,,297,,436,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
76,CC1=C(C(C)=NN1)/N=N/C2=C(OC)C=CC=C2,0.00104,,92,56,350,,421,,294,,436,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
77,CC1=C(C(C)=NN1)/N=N/C2=CC(OC)=CC=C2,0.00297,,85,65,330,,419,,292,,437,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
78,CC1=C(C(C)=NN1)/N=N/C2=CC=C(OC)C=C2,0.0012,,92,68,342,,403,,301,,441,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
79,CC1=C(C(C)=NN1)/N=N/C2=C(C)C=CC=C2,0.00692,,92,80,336,,423,,292,,435,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
80,CC1=C(C(C)=NN1)/N=N/C2=CC(C)=CC=C2,0.00199,,88,61,331,,419,,292,,441,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
81,CC1=C(C(C)=NN1)/N=N/C2=CC=C(C)C=C2,0.00145,,90,73,335,,416,,295,,437,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
82,CC1=C(C(C)=NN1)/N=N/C2=CC(C(O)=O)=CC=C2,0.0304,,81,65,332,,419,,295,,435,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
83,CC1=C(C(C)=NN1)/N=N/C2=CC=C(C(O)=O)C=C2,0.0441,,83,81,342,,410,,300,,441,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
84,CC1=C(C(C)=NN1)/N=N/C2=CC(NC(C)=O)=CC=C2,0.0544,,86,78,329,,423,,285,,438,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
85,CC1=C(C(C)=NN1)/N=N/C2=CC=C(NC(C)=O)C=C2,0.00144,,91,68,350,,410,,303,,445,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
86,CC1=NOC(C)=C1/N=N/C2=CC=CC=C2,,,65,81,315,,422,,302,,428,,,,,MeCN,,,,,,,,,334,,291,485,,,,
87,CC1=NOC(C)=C1/N=N/C2=C(F)C=CC=C2,,,48,80,321,,416,,313,,422,,,,,MeCN,,,,,,,,,,,,,,,,
88,CC1=NOC(C)=C1/N=N/C2=CC(F)=CC=C2,,,,,315,,421,,309,,428,,,,,MeCN,,,,,,,,,,,,,,,,
89,CC1=NOC(C)=C1/N=N/C2=CC=C(F)C=C2,,,,,318,,421,,296,,428,,,,,MeCN,,,,,,,,,,,,,,,,
90,CC1=NOC(C)=C1/N=N/C2=C(Cl)C=CC=C2,,,,,321,,424,,304,,426,,,,,MeCN,,,,,,,,,,,,,,,,
91,CC1=NOC(C)=C1/N=N/C2=CC(Cl)=CC=C2,,,,,315,,425,,294,,429,,,,,MeCN,,,,,,,,,,,,,,,,
92,CC1=NOC(C)=C1/N=N/C2=CC=C(Cl)C=C2,,,,,323,,423,,294,,429,,,,,MeCN,,,,,,,,,,,,,,,,
93,CC1=NOC(C)=C1/N=N/C2=C(Br)C=CC=C2,,,,,321,,428,,310,,428,,,,,MeCN,,,,,,,,,,,,,,,,
94,CC1=NOC(C)=C1/N=N/C2=CC(Br)=CC=C2,,,,,315,,423,,306,,429,,,,,MeCN,,,,,,,,,,,,,,,,
95,CC1=NOC(C)=C1/N=N/C2=CC=C(Br)C=C2,,,,,325,,421,,295,,432,,,,,MeCN,,,,,,,,,,,,,,,,
96,CC1=NOC(C)=C1/N=N/C2=CC=C(I)C=C2,,,,,330,,424,,295,,432,,,,,MeCN,,,,,,,,,,,,,,,,
97,CC1=NOC(C)=C1/N=N/C2=CC(O)=CC=C2,,,,,313,,418,,288,,432,,,,,MeCN,,,,,,,,,,,,,,,,
98,CC1=NOC(C)=C1/N=N/C2=CC(C(F)(F)F)=CC=C2,,,,,314,,418,,308,,426,,,,,MeCN,,,,,,,,,,,,,,,,
99,CC1=NOC(C)=C1/N=N/C2=CC=C(C(F)(F)F)C=C2,,,,,312,,425,,309,,429,,,,,MeCN,,,,,,,,,,,,,,,,
100,CC1=NOC(C)=C1/N=N/C2=C(OC)C=CC=C2,,,,,311,,414,,285,,426,,,,,MeCN,,,,,,,,,,,,,,,,
101,CC1=NOC(C)=C1/N=N/C2=CC(OC)=CC=C2,,,,,312,,423,,289,,430,,,,,MeCN,,,,,,,,,,,,,,,,
102,CC1=NOC(C)=C1/N=N/C2=CC=C(OC)C=C2,,,,,337,,403,,309,,434,,,,,MeCN,,,,,,,,,,,,,,,,
103,CC1=NOC(C)=C1/N=N/C2=C([N+]([O-])=O)C=CC=C2,,,,,318,,421,,318,,415,,,,,MeCN,,,,,,,,,,,,,,,,
104,CC1=NOC(C)=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2,,,,,332,,431,,295,,436,,,,,MeCN,,,,,,,,,,,,,,,,
105,CC1=NOC(C)=C1/N=N/C2=CC=C(C)C=C2,,,,,323,,420,,308,,430,,,,,MeCN,,,,,,,,,,,,,,,,
106,CC1=NOC(C)=C1/N=N/C2=CC(NC(C)=O)=CC=C2,,,,,315,,429,,295,,429,,,,,MeCN,,,,,,,,,,,,,,,,
107,CC1=NOC(C)=C1/N=N/C2=CC=C(NC(C)=O)C=C2,,,,,342,,416,,315,,437,,,,,MeCN,,,,,,,,,,,,,,,,
108,CC1=C(/N=N/C2=C3C=CC=CC3=CC=C2)C(C)=NO1,,,,,362,,439,,342,,440,,,,,MeCN,,,,,,,,,,,,,,,,
109,CC1=C(/N=N/C2=CC(Cl)=CC=C2Cl)C(C)=NO1,,,,,320,,430,,298,,427,,,,,MeCN,,,,,,,,,,,,,,,,
110,CC1=C(/N=N/C2=C(Cl)C=CC=C2Cl)C(C)=NO1,,,,,297,,429,,292,,421,,,,,MeCN,,,,,,,,,,,,,,,,
111,CC1=C(/N=N/C2=CC=C(F)C=C2F)C(C)=NO1,,,,,324,,420,,323,,420,,,,,MeCN,,,,,,,,,,,,,,,,
112,CC1=C(/N=N/C2=CC(F)=CC=C2F)C(C)=NO1,,,,,328,,417,,287,,422,,,,,MeCN,,,,,,,,,,,,,,,,
113,CC1=C(/N=N/C2=C(F)C=CC=C2F)C(C)=NO1,,,,,309,,419,,305,,419,,,,,MeCN,,,,,,,,,,,,,,,,
114,CC1=C(/N=N/C2=CC(F)=CC(F)=C2)C(C)=NO1,,,,,315,,417,,297,,429,,,,,MeCN,,,,,,,,,,,,,,,,
115,CC1=C(/N=N/C2=CC=CC(N)=C2)C(C)=NO1,,,,,315,,373,,290,,428,,,,,MeCN,,,,,,,,,,,,,,,,
116,CC1=C(/N=N/C2=CC=CC=C2C#N)C(C)=NO1,,,,,325,,431,,304,,434,,,,,MeCN,,,,,,,,,,,,,,,,
117,CC1=C(/N=N/C2=CC=CN=C2)C(C)=NO1,,,,,316,,421,,311,,429,,,,,MeCN,,,,,,,,,,,,,,,,
118,CC1=CC=C(/N=N/C2=CC=CS2)C=C1,,,,,365,,450,,285,,450,,,,,MeCN,,,,,,,,,,,,,320,,248,
119,C1(/N=N/C2=CC=CC=C2)=CC=CC=C1,,,,,319,,440,,,,,,,,,EtOH,344,477,,304,465,,,,324,438,275,461,,,,
120,BrC1=CC=CC=C1/N=N/C2=CC=CC=C2,,,,,326,,,,,,,,,,,EtOH,357,,,,,,,,331,,,,,,,
121,FC(F)(F)C1=CC=CC=C1/N=N/C2=CC=CC=C2,,,,,317,,452,,,,,,,,,Alk,342,497,,,,,,,330,463,,,,,,
122,CC1=CC=CC=C1/N=N/C2=CC=CC=C2,,,,,323,,455,,,,,,,,,Alk,349,495,,,,,,,337,467,,,,,,
123,NC1=CC=CC=C1/N=N/C2=CC=CC=C2,,,,,421,,,,,,,,,,,EtOH,419,,,,,,,,388,,,,,,,
124,BrC1=CC(/N=N/C2=CC=CC=C2)=CC=C1,,,,,321,,,,,,,,,,,EtOH,343,,,,,,,,324,,,,,,,
125,CC1=CC(/N=N/C2=CC=CC=C2)=CC=C1,,,,,322,,,,,,,,,,,Wat,347,,,,,,,,326,,,,,,,
126,NC1=CC(/N=N/C2=CC=CC=C2)=CC=C1,,,,,417,,,,,,,,,,,EtOH,429,,,,,,,,370,,,,,,,
127,O=[N+]([O-])C1=CC(/N=N/C2=CC=CC=C2)=CC=C1,,,,,327,,,,,,,,,,,Wat,340,,,,,,,,322,,,,,,,
128,BrC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,,,,,329,,448,,,,,,,,,EtOH,355,478,,310,463,,,,329,440,283,446,,,,
129,FC(F)(F)C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,,,,,315,,450,,,,,,,,,Alk,339,489,,,,,,,327,455,,,,,,
130,ClC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,,,,,324,,442,,,,,,,,,CH,348,479,,,,,,,334,454,,,,,,
131,N#CC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,,,,,321,,455,,,,,,,,,ACN,352,499,,,,,,,331,464,,,,,,
132,CC(C1=CC=C(/N=N/C2=CC=CC=C2)C=C1)=O,,,,,326,,,,,,,,,,,EtOH,360,,,,,,,,335,,,,,,,
133,O=C(OC)C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,,,,,328,,467,,,,,,,,,EtOH,355,496,,,,,,,331,450,,,,,,
134,FC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,,,,,322,,437,,,,,,,,,EtOH,367,471,,304,466,,,,326,435,281,433,,,,
135,OC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,,,,,339,,434,,,,,,,,,CH,358,468,,,,,,,346,442,,,,,,
136,O=C1C=CC(N1C2=CC=C(/N=N/C3=CC=CC=C3)C=C2)=O,,,,,329,,,,,,,,,,,MeOH,356,,,,,,,,332,,,,,,,
137,CC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,,,,,330,,445,,,,,,,,,EtOH,353,472,,310,469,,,,334,434,287,446,,,,
138,CCN(CC)C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,,,,,416,,,,,,,,,,,EtOH,431,,,,,,,,402,,,,,,,
139,NC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,,,,,364,,430,,,,,,,,,CH,383,465,,,,,,,370,437,,,,,,
140,CC(NC1=CC=C(/N=N/C2=CC=CC=C2)C=C1)=O,,,,,346,,,,,,,,,,,CH,371,,,,,,,,353,,,,,,,
